Year,"Call, proposal, etc",HPC system,Project ID,Requested amount of compute time,Granted amount of compute time,Unit
2020,"Prace-Call, Nucleon structure at the precision frontier using twisted mass lattice QCD",Marconi100,Pra20_5171,76,76,Mcore-h
2020,Gauss-Call LRZ. Nucleon observables as probes for physics beyond the standard model,SuperMUC,pr74yo,99.4,77,Mcore-h
2020,GAUSS,Juwels,hbn28,18,9,Mcore-h
2020,GAUSS,Jureca-booster,hbn28,73.3,73.3,Mcore-h
2020,GAUSS,Juwels-booster,fssh,11.5,7.5,Mcore-h
2020,CSCS,Piz Daint,s954,30,15,Mcore-h
2020,CSCS,Piz Daint,pr79,60,30,Mcore-h
2020,Cineca,Marconi100,Pra20_5171,76,76,Mcore-h
2020,GAUSS,Juwels-booster,cecy00,7.5,3.5,Mcore-h
2020,GAUSS,JUWELS,chch02,30.4,20,Mcore-h
2020,CSCS,PizDaint,s1045,67.3,47.6,Mcore-h
2021,GAUSS,SuperMUC-NG,pr74yo,94,94,Mcore-h
2021,GAUSS,JUWELS-Booster,pr74yo,14,14,Mcore-h
2021,GAUSS,Juwels-booster,fssh,20,15,Mcore-h
2021,CSCS,PizDaint,s1133,56.4,56.4,Mcore-h
2021,NIC,JUWELS-Cluster,cecy00,5,5,Mcore-h
2021,GAUSS,Juwels-Booster,pines,13.5,9,Mcore-h
2021,ISCRA-B,Marconi 100,S-EPIC,0.75,0.75,Mcore-h
2022,GAUSS,SuperMUC-NG,pr74yo,71.2,55,Mcore-h
2022,GAUSS,JUWELS-Booster,pr74yo,9,7.5,Mcore-h
2022,EuroHPC,Lumi-C,EHPC-REG-2021R0095,57.75,57.75,Mcore-h
2022,EuroHPC,Meluxina GPU,p200094,115200,115200,node-h
2022,EuroHPC,LUMI-G,project_465000267,1.92,1.92,Mcore-h
2022,Chronos,LUMI-G,project_465000415,1300000,1300000,node-h
2022,CSCS,Piz Daint,s1197,920000,920000,node-h
2022,Chronos,LUMI-G,project_465000412,1100000,1100000,node-h
2021,GAUSS,Juwels-booster,fssh,15.2,14,Mcore-h
2023,ISCRA,LEONARDO Booster,HP10CIC5GF,2500,2500,node-h
2023,ISCRA-B,Leonardo Booster,VITO-QCD,2,2,Mcore-h
2023,Gauss,JUWELS-Booster,pr74yo,18,11,Mcore-h
2023,Gauss,SuperMUC-NG,pr74yo,71.2,71.2,Mcore-h
2023,EuroHPC Extreme-scale,Leonardo,EHPC-EXT-2023E01-007,61,61,Mcore-h
2023,GAUSS,Juwels-booster,isdlqcd,16,7.5,Mcore-h
2023,Chronos,LIMI-G,project_465000726,1.184,0.296,Node-h
2024,GAUSS,Juwels-booster,libegm2,14.5,4.35,Mcore-h
2024,EuroHPC Extreme-scale,leonardo,EUHPC_E02_007,41,41,Mcore-h
